📺其他频道,#genre#
天津卫视,http://39.88.195.180:9003/hls/22/index.m3u8
辽宁卫视,http://39.88.195.180:9003/hls/23/index.m3u8
东南卫视,http://39.88.195.180:9003/hls/25/index.m3u8
湖北卫视,http://39.88.195.180:9003/hls/26/index.m3u8
广东卫视,http://39.88.195.180:9003/hls/27/index.m3u8
黑龙江卫视,http://39.88.195.180:9003/hls/28/index.m3u8
重庆卫视,http://39.88.195.180:9003/hls/29/index.m3u8
江西卫视,http://39.88.195.180:9003/hls/30/index.m3u8
河北卫视,http://39.88.195.180:9003/hls/31/index.m3u8
四川卫视,http://39.88.195.180:9003/hls/32/index.m3u8
河南卫视,http://39.88.195.180:9003/hls/33/index.m3u8
广西卫视,http://39.88.195.180:9003/hls/34/index.m3u8
📺地方频道,#genre#
湖南经视,http://42.49.176.207:808/hls/19/index.m3u8
湖南都市,http://42.49.176.207:808/hls/20/index.m3u8
湖南电视剧,http://42.49.176.207:808/hls/21/index.m3u8
湖南电影,http://42.49.176.207:808/hls/22/index.m3u8
湖南娱乐,http://42.49.176.207:808/hls/23/index.m3u8
湖南公共,http://42.49.176.207:808/hls/24/index.m3u8
湖南国际,http://42.49.176.207:808/hls/25/index.m3u8
湖南教育,http://42.49.176.207:808/hls/27/index.m3u8
四川,http://171.11.198.125:5000/hls/37/index.m3u8
甘肃,http://171.11.198.125:5000/hls/39/index.m3u8
广东,http://171.11.198.125:5000/hls/40/index.m3u8
安徽影视,http://36.33.249.250:801/hls/2/index.m3u8
安徽公共,http://36.33.249.250:801/hls/4/index.m3u8
辽宁新闻,http://116.3.56.45:81/hls/20/index.m3u8
辽宁体育,http://116.3.56.45:81/hls/25/index.m3u8
辽宁经济,http://116.3.56.45:81/hls/20/index.m3u8
📺数字频道,#genre#
金鹰卡通,http://42.49.176.207:808/hls/26/index.m3u8
欢笑剧场4K,http://116.3.56.45:81/hls/75/index.m3u8
📺港澳地区,#genre#
都市频道,http://171.11.198.125:5000/hls/17/index.m3u8
都市频道,http://221.14.142.118:8000/hls/18/index.m3u8
民生频道,http://221.14.142.118:8000/hls/19/index.m3u8
法治频道,http://221.14.142.118:8000/hls/20/index.m3u8
电视剧频道,http://221.14.142.118:8000/hls/21/index.m3u8
梨园频道,http://116.3.56.45:81/hls/66/index.m3u8
📺DOX系列,#genre#
QTV-1高清,http://39.88.195.180:9003/hls/35/index.m3u8
QTV-2高清,http://39.88.195.180:9003/hls/36/index.m3u8
QTV-3高清,http://39.88.195.180:9003/hls/37/index.m3u8
QTV-4高清,http://39.88.195.180:9003/hls/38/index.m3u8
📺海外频道,#genre#
CHC动作电影,http://39.88.195.180:9003/hls/39/index.m3u8
