📺央视频道,#genre#
CCTV1,http://183.236.10.36:8083/hls/1/index.m3u8
CCTV2,http://183.236.10.36:8083/hls/2/index.m3u8
CCTV3,http://183.236.10.36:8083/hls/3/index.m3u8
CCTV4,http://183.236.10.36:8083/hls/4/index.m3u8
CCTV5,http://183.236.10.36:8083/hls/5/index.m3u8
CCTV5+,http://183.236.10.36:8083/hls/6/index.m3u8
CCTV6,http://183.236.10.36:8083/hls/7/index.m3u8
CCTV7,http://183.236.10.36:8083/hls/8/index.m3u8
CCTV8,http://183.236.10.36:8083/hls/9/index.m3u8
CCTV9,http://183.236.10.36:8083/hls/10/index.m3u8
CCTV10,http://183.236.10.36:8083/hls/11/index.m3u8
CCTV12,http://183.236.10.36:8083/hls/13/index.m3u8
CCTV13,http://183.236.10.36:8083/hls/14/index.m3u8
CCTV14,http://183.236.10.36:8083/hls/15/index.m3u8
CCTV15,http://183.236.10.36:8083/hls/16/index.m3u8
CCTV17,http://183.236.10.36:8083/hls/25/index.m3u8
CCTV3,http://123.162.23.29:888/hls/3/index.m3u8
CCTV4,http://123.162.23.29:888/hls/4/index.m3u8
CCTV5,http://123.162.23.29:888/hls/5/index.m3u8
CCTV6,http://123.162.23.29:888/hls/6/index.m3u8
CCTV7,http://123.162.23.29:888/hls/7/index.m3u8
CCTV8,http://123.162.23.29:888/hls/8/index.m3u8
CCTV9,http://123.162.23.29:888/hls/9/index.m3u8
CCTV10,http://123.162.23.29:888/hls/10/index.m3u8
CCTV11,http://123.162.23.29:888/hls/11/index.m3u8
CCTV12,http://123.162.23.29:888/hls/12/index.m3u8
CCTV13,http://123.162.23.29:888/hls/13/index.m3u8
CCTV14,http://123.162.23.29:888/hls/14/index.m3u8
CCTV15,http://123.162.23.29:888/hls/15/index.m3u8
CCTV1,http://123.162.23.29:888/hls/72/index.m3u8
CCTV风云音乐,http://123.162.23.29:888/hls/72/index.m3u8
CCTV第一剧场,http://123.162.23.29:888/hls/73/index.m3u8
CCTV国防军事,http://123.162.23.29:888/hls/74/index.m3u8
CCTV1,http://122.137.234.66:888/hls/1/index.m3u8
CCTV2,http://122.137.234.66:888/hls/2/index.m3u8
CCTV3,http://122.137.234.66:888/hls/3/index.m3u8
CCTV4,http://122.137.234.66:888/hls/4/index.m3u8
CCTV5,http://122.137.234.66:888/hls/5/index.m3u8
CCTV6,http://122.137.234.66:888/hls/6/index.m3u8
CCTV7,http://122.137.234.66:888/hls/7/index.m3u8
CCTV8,http://122.137.234.66:888/hls/8/index.m3u8
CCTV9,http://122.137.234.66:888/hls/9/index.m3u8
CCTV10,http://122.137.234.66:888/hls/10/index.m3u8
CCTV11,http://122.137.234.66:888/hls/11/index.m3u8
CCTV12,http://122.137.234.66:888/hls/12/index.m3u8
CCTV13,http://122.137.234.66:888/hls/13/index.m3u8
CCTV14,http://122.137.234.66:888/hls/14/index.m3u8
CCTV15,http://122.137.234.66:888/hls/15/index.m3u8
CCTV16,http://122.137.234.66:888/hls/16/index.m3u8
CCTV17,http://122.137.234.66:888/hls/17/index.m3u8
CCTV16,http://122.137.234.66:888/hls/18/index.m3u8
CCTV4,http://122.137.234.66:888/hls/19/index.m3u8
CCTV5+,http://122.137.234.66:888/hls/20/index.m3u8
CCTV4,http://122.137.234.66:888/hls/98/index.m3u8
CCTV4,http://122.137.234.66:888/hls/99/index.m3u8
CCTV1,http://14.155.194.196:8088/hls/1/index.m3u8
CCTV2,http://14.155.194.196:8088/hls/3/index.m3u8
CCTV3,http://14.155.194.196:8088/hls/4/index.m3u8
CCTV4,http://14.155.194.196:8088/hls/5/index.m3u8
CCTV5,http://14.155.194.196:8088/hls/6/index.m3u8
CCTV5+,http://14.155.194.196:8088/hls/7/index.m3u8
CCTV6,http://14.155.194.196:8088/hls/8/index.m3u8
CCTV7,http://14.155.194.196:8088/hls/9/index.m3u8
CCTV8,http://14.155.194.196:8088/hls/10/index.m3u8
CCTV9,http://14.155.194.196:8088/hls/11/index.m3u8
CCTV10,http://14.155.194.196:8088/hls/12/index.m3u8
CCTV11,http://14.155.194.196:8088/hls/13/index.m3u8
CCTV12,http://14.155.194.196:8088/hls/14/index.m3u8
CCTV13,http://14.155.194.196:8088/hls/15/index.m3u8
CCTV14,http://14.155.194.196:8088/hls/16/index.m3u8
CCTV15,http://14.155.194.196:8088/hls/17/index.m3u8
CCTV17,http://14.155.194.196:8088/hls/19/index.m3u8
📺卫视频道,#genre#
湖南卫视,http://183.236.10.36:8083/hls/17/index.m3u8
浙江卫视,http://183.236.10.36:8083/hls/18/index.m3u8
江苏卫视,http://183.236.10.36:8083/hls/19/index.m3u8
