📺其他频道,#genre#
1,http://144.0.23.43:8085/hls/1/index.m3u8
2,http://144.0.23.43:8085/hls/2/index.m3u8
3,http://144.0.23.43:8085/hls/3/index.m3u8
4,http://144.0.23.43:8085/hls/4/index.m3u8
5,http://144.0.23.43:8085/hls/5/index.m3u8
6,http://144.0.23.43:8085/hls/6/index.m3u8
7,http://144.0.23.43:8085/hls/7/index.m3u8
8,http://144.0.23.43:8085/hls/8/index.m3u8
9,http://144.0.23.43:8085/hls/9/index.m3u8
10,http://144.0.23.43:8085/hls/10/index.m3u8
11,http://144.0.23.43:8085/hls/11/index.m3u8
12,http://144.0.23.43:8085/hls/12/index.m3u8
13,http://144.0.23.43:8085/hls/13/index.m3u8
14,http://144.0.23.43:8085/hls/14/index.m3u8
15,http://144.0.23.43:8085/hls/15/index.m3u8
16,http://144.0.23.43:8085/hls/16/index.m3u8
17,http://144.0.23.43:8085/hls/17/index.m3u8
18,http://144.0.23.43:8085/hls/18/index.m3u8
19,http://144.0.23.43:8085/hls/19/index.m3u8
20,http://144.0.23.43:8085/hls/20/index.m3u8
21,http://144.0.23.43:8085/hls/21/index.m3u8
22,http://144.0.23.43:8085/hls/22/index.m3u8
23,http://144.0.23.43:8085/hls/23/index.m3u8
24,http://144.0.23.43:8085/hls/24/index.m3u8
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8
NBTV-1,http://223.95.198.3:8000/hls/48/index.m3u8
NBTV-2,http://223.95.198.3:8000/hls/49/index.m3u8
文体娱乐,http://1.31.14.70:54321/hls/53/index.m3u8
CGTN,http://219.156.127.42:8899/hls/16/index.m3u8
电视剧频,http://219.156.127.42:8899/hls/23/index.m3u8
移动戏曲,http://219.156.127.42:8899/hls/27/index.m3u8
百姓调解,http://219.156.127.42:8899/hls/28/index.m3u8
卡酷动画,http://219.156.127.42:8899/hls/63/index.m3u8
bj,http://114.241.213.82:81/hls/4/index.m3u8
ln,http://114.241.213.82:81/hls/5/index.m3u8
bj,http://114.241.213.82:81/hls/6/index.m3u8
CCYV-7,http://42.180.65.141:81/hls/7/index.m3u8
科教经济,http://121.33.234.76:808/hls/54/index.m3u8
动作影院,http://122.114.131.154:4060/hls/32/index.m3u8
喜剧影院,http://122.114.131.154:4060/hls/37/index.m3u8
星影,http://122.114.131.154:4060/hls/38/index.m3u8
军事,http://122.114.131.154:4060/hls/39/index.m3u8
法制,http://122.114.131.154:4060/hls/40/index.m3u8
📺央视频道,#genre#
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8
