📺其他频道,#genre#
Q亳州农村,http://120.209.208.163:5080/hls/3/index.m3u8
Q 亳州新闻,http://120.209.208.163:5080/hls/2/index.m3u8
凤凰中文,http://27.41.245.32:801/hls/205/index.m3u8
少儿动画,http://124.129.139.77:9001/hls/24/index.m3u8
QTV-6教育,http://124.129.139.77:9001/hls/40/index.m3u8
1,http://39.89.40.66:8083/hls/1/index.m3u8
2,http://39.89.40.66:8083/hls/2/index.m3u8
3,http://39.89.40.66:8083/hls/3/index.m3u8
4,http://39.89.40.66:8083/hls/4/index.m3u8
5,http://39.89.40.66:8083/hls/5/index.m3u8
6,http://39.89.40.66:8083/hls/6/index.m3u8
7,http://39.89.40.66:8083/hls/7/index.m3u8
8,http://39.89.40.66:8083/hls/8/index.m3u8
9,http://39.89.40.66:8083/hls/9/index.m3u8
10,http://39.89.40.66:8083/hls/10/index.m3u8
11,http://39.89.40.66:8083/hls/11/index.m3u8
12,http://39.89.40.66:8083/hls/12/index.m3u8
13,http://39.89.40.66:8083/hls/13/index.m3u8
14,http://39.89.40.66:8083/hls/14/index.m3u8
15,http://39.89.40.66:8083/hls/15/index.m3u8
16,http://39.89.40.66:8083/hls/16/index.m3u8
10,http://39.89.40.66:8083/hls/10/index.m3u8
电视剧台,http://119.39.198.199:808/hls/24/index.m3u8
电视剧台,http://119.39.198.183:808/hls/24/index.m3u8
齐鲁,http://111.14.186.11:5009/hls/18/index.m3u8
梨园,http://111.14.186.11:5009/hls/46/index.m3u8
📺央视频道,#genre#
CCTV1,http://125.44.164.109:8888/hls/1/index.m3u8
CCTV2,http://125.44.164.109:8888/hls/2/index.m3u8
CCTV3,http://125.44.164.109:8888/hls/21/index.m3u8
CCTV5+,http://125.44.164.109:8888/hls/3/index.m3u8
CCTV6,http://125.44.164.109:8888/hls/23/index.m3u8
CCTV7,http://125.44.164.109:8888/hls/4/index.m3u8
CCTV14,http://125.44.164.109:8888/hls/8/index.m3u8
CCTV9,http://125.44.164.109:8888/hls/5/index.m3u8
CCTV10,http://125.44.164.109:8888/hls/6/index.m3u8
CCTV12,http://125.44.164.109:8888/hls/7/index.m3u8
CCTV1,http://27.41.245.32:801/hls/1/index.m3u8
CCTV2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV3,http://27.41.245.32:801/hls/3/index.m3u8
CCTV4,http://27.41.245.32:801/hls/4/index.m3u8
CCTV5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV9,http://27.41.245.32:801/hls/9/index.m3u8
CCTV10,http://27.41.245.32:801/hls/10/index.m3u8
CCTV11,http://27.41.245.32:801/hls/11/index.m3u8
CCTV12,http://27.41.245.32:801/hls/12/index.m3u8
CCTV13,http://27.41.245.32:801/hls/13/index.m3u8
CCTV14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV15,http://27.41.245.32:801/hls/15/index.m3u8
CCTV17,http://27.41.245.32:801/hls/16/index.m3u8
CCTV1,http://124.129.139.77:9001/hls/1/index.m3u8
CCTV2,http://124.129.139.77:9001/hls/2/index.m3u8
CCTV3,http://124.129.139.77:9001/hls/3/index.m3u8
CCTV4,http://124.129.139.77:9001/hls/4/index.m3u8
CCTV5,http://124.129.139.77:9001/hls/5/index.m3u8
CCTV5+,http://124.129.139.77:9001/hls/6/index.m3u8
