📺其他频道,#genre#
哈尔滨新闻,http://111.43.126.240:7777/hls/1/index.m3u8
哈尔滨影视,http://111.43.126.240:7777/hls/5/index.m3u8
CCTC-17农业,http://111.43.126.240:7777/hls/30/index.m3u8
CGTN-1,http://111.43.126.240:7777/hls/32/index.m3u8
CGTN-2,http://111.43.126.240:7777/hls/33/index.m3u8
CETV-1,http://111.43.126.240:7777/hls/34/index.m3u8
CETV-2,http://111.43.126.240:7777/hls/35/index.m3u8
CETV-4,http://111.43.126.240:7777/hls/36/index.m3u8
炫动卡通,http://111.43.126.240:7777/hls/72/index.m3u8
惊辣悬疑,http://111.43.126.240:7777/hls/77/index.m3u8
嗨看暑假,http://111.43.126.240:7777/hls/79/index.m3u8
精品记录,http://111.43.126.240:7777/hls/88/index.m3u8
潮妈辣妹,http://111.43.126.240:7777/hls/94/index.m3u8
武博世界,http://111.43.126.240:7777/hls/95/index.m3u8
精品综艺,http://111.43.126.240:7777/hls/97/index.m3u8
热播精选,http://111.43.126.240:7777/hls/98/index.m3u8
咪咕精彩足球,http://111.43.126.240:7777/hls/103/index.m3u8
电视剧台,http://119.39.198.183:808/hls/24/index.m3u8
凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8
NBTV-1,http://223.95.198.3:8000/hls/48/index.m3u8
NBTV-2,http://223.95.198.3:8000/hls/49/index.m3u8
凤凰中文,http://27.41.245.32:801/hls/205/index.m3u8
CGTN,http://221.14.142.118:8000/hls/16/index.m3u8
都市,http://222.88.207.214:808/hls/16/index.m3u8
民生,http://222.88.207.214:808/hls/17/index.m3u8
法治,http://222.88.207.214:808/hls/18/index.m3u8
电视剧,http://222.88.207.214:808/hls/19/index.m3u8
新闻,http://222.88.207.214:808/hls/20/index.m3u8
公共,http://222.88.207.214:808/hls/21/index.m3u8
新农村,http://222.88.207.214:808/hls/22/index.m3u8
梨园春,http://222.88.207.214:808/hls/24/index.m3u8
河北,http://222.88.207.214:808/hls/36/index.m3u8
移动戏曲,http://222.88.207.214:808/hls/57/index.m3u8
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
卡酷动画,http://183.237.71.182:40000/hls/51/index.m3u8
炫动卡通,http://183.237.71.182:40000/hls/53/index.m3u8
CETV-1,http://183.237.71.182:40000/hls/54/index.m3u8
CETV2,http://183.237.71.182:40000/hls/61/index.m3u8
CETV4,http://183.237.71.182:40000/hls/62/index.m3u8
经济科教,http://183.237.71.182:40000/hls/68/index.m3u8
1,http://112.255.145.243:8083/hls/1/index.m3u8
2,http://112.255.145.243:8083/hls/2/index.m3u8
3,http://112.255.145.243:8083/hls/3/index.m3u8
4,http://112.255.145.243:8083/hls/4/index.m3u8
5,http://112.255.145.243:8083/hls/5/index.m3u8
6,http://112.255.145.243:8083/hls/6/index.m3u8
7,http://112.255.145.243:8083/hls/7/index.m3u8
8,http://112.255.145.243:8083/hls/8/index.m3u8
9,http://112.255.145.243:8083/hls/9/index.m3u8
10,http://112.255.145.243:8083/hls/10/index.m3u8
11,http://112.255.145.243:8083/hls/11/index.m3u8
12,http://112.255.145.243:8083/hls/12/index.m3u8
13,http://112.255.145.243:8083/hls/13/index.m3u8
14,http://112.255.145.243:8083/hls/14/index.m3u8
15,http://112.255.145.243:8083/hls/15/index.m3u8
16,http://112.255.145.243:8083/hls/16/index.m3u8
10,http://112.255.145.243:8083/hls/10/index.m3u8
IPTV6+,http://58.249.149.87:808/hls/56/index.m3u8
IPTV8+,http://58.249.149.87:808/hls/57/index.m3u8
IPTV法治,http://58.249.149.87:808/hls/59/index.m3u8
少儿动画,http://58.255.200.159:808/hls/63/index.m3u8
CGTN,http://39.164.138.145:8899/hls/16/index.m3u8
电视剧频,http://39.164.138.145:8899/hls/23/index.m3u8
移动戏曲,http://39.164.138.145:8899/hls/27/index.m3u8
百姓调解,http://39.164.138.145:8899/hls/28/index.m3u8
卡酷动画,http://39.164.138.145:8899/hls/63/index.m3u8
📺数字频道,#genre#
哈尔滨生活,http://111.43.126.240:7777/hls/3/index.m3u8
卡酷少儿,http://111.43.126.240:7777/hls/71/index.m3u8
金鹰卡通,http://111.43.126.240:7777/hls/73/index.m3u8
优漫卡通,http://111.43.126.240:7777/hls/74/index.m3u8
动作电影,http://111.43.126.240:7777/hls/75/index.m3u8
黑莓电影,http://111.43.126.240:7777/hls/99/index.m3u8
黑莓动画,http://111.43.126.240:7777/hls/100/index.m3u8
哒啵赛事,http://111.43.126.240:7777/hls/101/index.m3u8
金鹰卡通,http://119.39.198.183:808/hls/17/index.m3u8
金鹰纪实,http://119.39.198.183:808/hls/19/index.m3u8
汕头经济生活,http://27.41.245.32:801/hls/903/index.m3u8
武术世界,http://222.88.207.214:808/hls/23/index.m3u8
金鹰卡通,http://222.88.207.214:808/hls/51/index.m3u8
嘉佳卡通,http://222.88.207.214:808/hls/52/index.m3u8
文物宝库,http://222.88.207.214:808/hls/58/index.m3u8
金鹰卡通,http://222.85.198.92:8000/hls/38/index.m3u8
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8
金鹰卡通,http://183.237.71.182:40000/hls/52/index.m3u8
财富天下,http://183.237.71.182:40000/hls/56/index.m3u8
优漫卡通,http://183.237.71.182:40000/hls/58/index.m3u8
嘉佳卡通,http://183.237.71.182:40000/hls/72/index.m3u8
金鹰卡通,http://122.114.131.154:4007/hls/29/index.m3u8
纪实人文,http://58.249.149.87:808/hls/54/index.m3u8
金鹰卡通,http://58.249.149.87:808/hls/55/index.m3u8
嘉佳卡通高清,http://58.255.200.159:808/hls/27/index.m3u8
金鹰卡通高清,http://58.255.200.159:808/hls/56/index.m3u8
梨园频道,http://39.164.138.145:8899/hls/30/index.m3u8
武术世界,http://39.164.138.145:8899/hls/31/index.m3u8
国学频道,http://39.164.138.145:8899/hls/32/index.m3u8
金鹰卡通,http://39.164.138.145:8899/hls/62/index.m3u8
嘉佳卡通,http://39.164.138.145:8899/hls/64/index.m3u8
优漫卡通,http://39.164.138.145:8899/hls/66/index.m3u8
哈哈炫动,http://39.164.138.145:8899/hls/67/index.m3u8
📺卫视频道,#genre#
黑龙江卫视,http://111.43.126.240:7777/hls/6/index.m3u8
湖南卫视,http://111.43.126.240:7777/hls/37/index.m3u8
江苏卫视,http://111.43.126.240:7777/hls/38/index.m3u8
东方卫视,http://111.43.126.240:7777/hls/39/index.m3u8
浙江卫视,http://111.43.126.240:7777/hls/40/index.m3u8
北京卫视,http://111.43.126.240:7777/hls/41/index.m3u8
广东卫视,http://111.43.126.240:7777/hls/42/index.m3u8
安徽卫视,http://111.43.126.240:7777/hls/43/index.m3u8
河南卫视,http://111.43.126.240:7777/hls/44/index.m3u8
吉林卫视,http://111.43.126.240:7777/hls/45/index.m3u8
天津卫视,http://111.43.126.240:7777/hls/46/index.m3u8
东南卫视,http://111.43.126.240:7777/hls/47/index.m3u8
山东卫视,http://111.43.126.240:7777/hls/48/index.m3u8
江西卫视,http://111.43.126.240:7777/hls/49/index.m3u8
四川卫视,http://111.43.126.240:7777/hls/50/index.m3u8
深圳卫视,http://111.43.126.240:7777/hls/51/index.m3u8
