📺央视频道,#genre#
CCTV1,http://106.46.169.202:9000/hls/1/index.m3u8
CCTV2,http://106.46.169.202:9000/hls/2/index.m3u8
CCTV3,http://106.46.169.202:9000/hls/3/index.m3u8
CCTV4,http://106.46.169.202:9000/hls/4/index.m3u8
CCTV5,http://106.46.169.202:9000/hls/5/index.m3u8
CCTV6,http://106.46.169.202:9000/hls/6/index.m3u8
CCTV7,http://106.46.169.202:9000/hls/7/index.m3u8
CCTV8,http://106.46.169.202:9000/hls/8/index.m3u8
CCTV9,http://106.46.169.202:9000/hls/9/index.m3u8
CCTV10,http://106.46.169.202:9000/hls/10/index.m3u8
CCTV11,http://106.46.169.202:9000/hls/11/index.m3u8
CCTV12,http://106.46.169.202:9000/hls/12/index.m3u8
CCTV1,http://182.117.198.58:8888/hls/1/index.m3u8
CCTV2,http://182.117.198.58:8888/hls/2/index.m3u8
CCTV3,http://182.117.198.58:8888/hls/3/index.m3u8
CCTV4,http://182.117.198.58:8888/hls/4/index.m3u8
CCTV5,http://182.117.198.58:8888/hls/5/index.m3u8
CCTV6,http://182.117.198.58:8888/hls/6/index.m3u8
CCTV7,http://182.117.198.58:8888/hls/7/index.m3u8
CCTV8,http://182.117.198.58:8888/hls/8/index.m3u8
CCTV9,http://182.117.198.58:8888/hls/9/index.m3u8
CCTV10,http://182.117.198.58:8888/hls/10/index.m3u8
CCTV11,http://182.117.198.58:8888/hls/11/index.m3u8
CCTV12,http://182.117.198.58:8888/hls/12/index.m3u8
CCTV13,http://182.117.198.58:8888/hls/13/index.m3u8
CCTV14,http://182.117.198.58:8888/hls/14/index.m3u8
CCTV15,http://182.117.198.58:8888/hls/15/index.m3u8
CCTV5+,http://182.117.198.58:8888/hls/16/index.m3u8
CCTV1,http://42.237.163.189:8888/hls/1/index.m3u8
CCTV2,http://42.237.163.189:8888/hls/2/index.m3u8
CCTV3,http://42.237.163.189:8888/hls/3/index.m3u8
CCTV4,http://42.237.163.189:8888/hls/4/index.m3u8
CCTV5,http://42.237.163.189:8888/hls/5/index.m3u8
CCTV6,http://42.237.163.189:8888/hls/6/index.m3u8
CCTV7,http://42.237.163.189:8888/hls/7/index.m3u8
CCTV8,http://42.237.163.189:8888/hls/8/index.m3u8
CCTV9,http://42.237.163.189:8888/hls/9/index.m3u8
CCTV10,http://42.237.163.189:8888/hls/10/index.m3u8
CCTV11,http://42.237.163.189:8888/hls/11/index.m3u8
CCTV12,http://42.237.163.189:8888/hls/12/index.m3u8
CCTV13,http://42.237.163.189:8888/hls/13/index.m3u8
CCTV14,http://42.237.163.189:8888/hls/14/index.m3u8
CCTV15,http://42.237.163.189:8888/hls/15/index.m3u8
CCTV5+,http://42.237.163.189:8888/hls/16/index.m3u8
📺卫视频道,#genre#
河南卫视,http://106.46.169.202:9000/hls/13/index.m3u8
浙江卫视,http://106.46.169.202:9000/hls/14/index.m3u8
东方卫视,http://106.46.169.202:9000/hls/15/index.m3u8
江苏卫视,http://106.46.169.202:9000/hls/16/index.m3u8
北京卫视,http://106.46.169.202:9000/hls/17/index.m3u8
广东卫视,http://106.46.169.202:9000/hls/18/index.m3u8
黑龙江卫视,http://106.46.169.202:9000/hls/19/index.m3u8
山东卫视,http://106.46.169.202:9000/hls/20/index.m3u8
安徽卫视,http://106.46.169.202:9000/hls/21/index.m3u8
辽宁卫视,http://106.46.169.202:9000/hls/22/index.m3u8
陕西卫视,http://106.46.169.202:9000/hls/23/index.m3u8
贵州卫视,http://106.46.169.202:9000/hls/24/index.m3u8
河北卫视,http://106.46.169.202:9000/hls/25/index.m3u8
江西卫视,http://106.46.169.202:9000/hls/26/index.m3u8
湖南卫视,http://106.46.169.202:9000/hls/27/index.m3u8
深圳卫视,http://106.46.169.202:9000/hls/28/index.m3u8
四川卫视,http://106.46.169.202:9000/hls/29/index.m3u8
湖北卫视,http://106.46.169.202:9000/hls/30/index.m3u8
天津卫视,http://106.46.169.202:9000/hls/31/index.m3u8
云南卫视,http://106.46.169.202:9000/hls/32/index.m3u8
重庆卫视,http://106.46.169.202:9000/hls/33/index.m3u8
吉林卫视,http://106.46.169.202:9000/hls/34/index.m3u8
宁夏卫视,http://106.46.169.202:9000/hls/35/index.m3u8
东南卫视,http://106.46.169.202:9000/hls/36/index.m3u8
内蒙古卫视,http://106.46.169.202:9000/hls/37/index.m3u8
山西卫视,http://106.46.169.202:9000/hls/39/index.m3u8
海南卫视,http://106.46.169.202:9000/hls/40/index.m3u8
河南卫视,http://182.117.198.58:8888/hls/17/index.m3u8
浙江卫视,http://182.117.198.58:8888/hls/18/index.m3u8
东方卫视,http://182.117.198.58:8888/hls/19/index.m3u8
天津卫视,http://182.117.198.58:8888/hls/20/index.m3u8
安徽卫视,http://182.117.198.58:8888/hls/21/index.m3u8
山东卫视,http://182.117.198.58:8888/hls/22/index.m3u8
湖北卫视,http://182.117.198.58:8888/hls/23/index.m3u8
深圳卫视,http://182.117.198.58:8888/hls/24/index.m3u8
黑龙江卫视,http://182.117.198.58:8888/hls/25/index.m3u8
北京卫视,http://182.117.198.58:8888/hls/26/index.m3u8
湖南卫视,http://182.117.198.58:8888/hls/27/index.m3u8
江苏卫视,http://182.117.198.58:8888/hls/28/index.m3u8
辽宁卫视,http://182.117.198.58:8888/hls/29/index.m3u8
江西卫视,http://182.117.198.58:8888/hls/30/index.m3u8
四川卫视,http://182.117.198.58:8888/hls/31/index.m3u8
云南卫视,http://182.117.198.58:8888/hls/32/index.m3u8
河南卫视,http://42.237.163.189:8888/hls/17/index.m3u8
浙江卫视,http://42.237.163.189:8888/hls/18/index.m3u8
东方卫视,http://42.237.163.189:8888/hls/19/index.m3u8
天津卫视,http://42.237.163.189:8888/hls/20/index.m3u8
安徽卫视,http://42.237.163.189:8888/hls/21/index.m3u8
山东卫视,http://42.237.163.189:8888/hls/22/index.m3u8
湖北卫视,http://42.237.163.189:8888/hls/23/index.m3u8
深圳卫视,http://42.237.163.189:8888/hls/24/index.m3u8
黑龙江卫视,http://42.237.163.189:8888/hls/25/index.m3u8
北京卫视,http://42.237.163.189:8888/hls/26/index.m3u8
湖南卫视,http://42.237.163.189:8888/hls/27/index.m3u8
江苏卫视,http://42.237.163.189:8888/hls/28/index.m3u8
辽宁卫视,http://42.237.163.189:8888/hls/29/index.m3u8
江西卫视,http://42.237.163.189:8888/hls/30/index.m3u8
四川卫视,http://42.237.163.189:8888/hls/31/index.m3u8
云南卫视,http://42.237.163.189:8888/hls/32/index.m3u8
江苏卫视,http://120.83.125.11:88/hls/559/index.m3u8
江苏卫视,http://120.83.125.13:88/hls/559/index.m3u8
📺港澳地区,#genre#
都市频道,http://106.46.169.202:9000/hls/38/index.m3u8
