📺央视频道,#genre#
CCTV1,http://221.215.214.14:9005/hls/1/index.m3u8
CCTV2,http://221.215.214.14:9005/hls/2/index.m3u8
CCTV3,http://221.215.214.14:9005/hls/3/index.m3u8
CCTV4,http://221.215.214.14:9005/hls/4/index.m3u8
CCTV5,http://221.215.214.14:9005/hls/5/index.m3u8
CCTV5+,http://221.215.214.14:9005/hls/6/index.m3u8
CCTV6,http://221.215.214.14:9005/hls/7/index.m3u8
CCTV7,http://221.215.214.14:9005/hls/8/index.m3u8
CCTV8,http://221.215.214.14:9005/hls/9/index.m3u8
CCTV9,http://221.215.214.14:9005/hls/10/index.m3u8
CCTV10,http://221.215.214.14:9005/hls/11/index.m3u8
CCTV11,http://221.215.214.14:9005/hls/12/index.m3u8
CCTV12,http://221.215.214.14:9005/hls/13/index.m3u8
CCTV13,http://221.215.214.14:9005/hls/14/index.m3u8
CCTV1,http://219.139.124.61:8089/hls/1/index.m3u8
CCTV2,http://219.139.124.61:8089/hls/2/index.m3u8
CCTV3,http://219.139.124.61:8089/hls/3/index.m3u8
CCTV5,http://219.139.124.61:8089/hls/5/index.m3u8
CCTV6,http://219.139.124.61:8089/hls/6/index.m3u8
CCTV7,http://219.139.124.61:8089/hls/7/index.m3u8
CCTV8,http://219.139.124.61:8089/hls/8/index.m3u8
CCTV4,http://219.139.124.61:8089/hls/40/index.m3u8
CCTV1,http://125.46.178.119:60000/hls/1/index.m3u8
CCTV2,http://125.46.178.119:60000/hls/2/index.m3u8
CCTV3,http://125.46.178.119:60000/hls/3/index.m3u8
CCTV5,http://125.46.178.119:60000/hls/5/index.m3u8
CCTV6,http://125.46.178.119:60000/hls/6/index.m3u8
CCTV7,http://125.46.178.119:60000/hls/7/index.m3u8
CCTV8,http://125.46.178.119:60000/hls/8/index.m3u8
CCTV9,http://125.46.178.119:60000/hls/9/index.m3u8
CCTV10,http://125.46.178.119:60000/hls/10/index.m3u8
CCTV12,http://125.46.178.119:60000/hls/12/index.m3u8
CCTV14,http://125.46.178.119:60000/hls/14/index.m3u8
CCTV1,http://121.33.234.76:808/hls/1/index.m3u8
CCTV2,http://121.33.234.76:808/hls/2/index.m3u8
CCTV3,http://121.33.234.76:808/hls/3/index.m3u8
CCTV4,http://121.33.234.76:808/hls/4/index.m3u8
CCTV5,http://121.33.234.76:808/hls/5/index.m3u8
CCTV6,http://121.33.234.76:808/hls/6/index.m3u8
CCTV7,http://121.33.234.76:808/hls/7/index.m3u8
CCTV8,http://121.33.234.76:808/hls/8/index.m3u8
CCTV9,http://121.33.234.76:808/hls/9/index.m3u8
CCTV10,http://121.33.234.76:808/hls/10/index.m3u8
CCTV11,http://121.33.234.76:808/hls/11/index.m3u8
CCTV12,http://121.33.234.76:808/hls/12/index.m3u8
CCTV13,http://121.33.234.76:808/hls/13/index.m3u8
CCTV14,http://121.33.234.76:808/hls/14/index.m3u8
CCTV15,http://121.33.234.76:808/hls/57/index.m3u8
CCTV1,http://114.252.242.235:10443/hls/1/index.m3u8
CCTV2,http://114.252.242.235:10443/hls/2/index.m3u8
CCTV5,http://114.252.242.235:10443/hls/5/index.m3u8
CCTV5+,http://114.252.242.235:10443/hls/6/index.m3u8
CCTV7,http://114.252.242.235:10443/hls/7/index.m3u8
CCTV9,http://114.252.242.235:10443/hls/9/index.m3u8
CCTV10,http://114.252.242.235:10443/hls/10/index.m3u8
CCTV12,http://114.252.242.235:10443/hls/12/index.m3u8
📺卫视频道,#genre#
山东卫视,http://221.215.214.14:9005/hls/15/index.m3u8
湖南卫视,http://221.215.214.14:9005/hls/16/index.m3u8
浙江卫视,http://221.215.214.14:9005/hls/17/index.m3u8
东方卫视,http://221.215.214.14:9005/hls/18/index.m3u8
江苏卫视,http://221.215.214.14:9005/hls/19/index.m3u8
北京卫视,http://221.215.214.14:9005/hls/20/index.m3u8
安徽卫视,http://221.215.214.14:9005/hls/21/index.m3u8
天津卫视,http://221.215.214.14:9005/hls/22/index.m3u8
辽宁卫视,http://221.215.214.14:9005/hls/23/index.m3u8
东南卫视,http://221.215.214.14:9005/hls/25/index.m3u8
湖北卫视,http://221.215.214.14:9005/hls/26/index.m3u8
广东卫视,http://221.215.214.14:9005/hls/27/index.m3u8
黑龙江卫视,http://221.215.214.14:9005/hls/28/index.m3u8
重庆卫视,http://221.215.214.14:9005/hls/29/index.m3u8
江西卫视,http://221.215.214.14:9005/hls/30/index.m3u8
河北卫视,http://221.215.214.14:9005/hls/31/index.m3u8
四川卫视,http://221.215.214.14:9005/hls/32/index.m3u8
河南卫视,http://221.215.214.14:9005/hls/33/index.m3u8
广西卫视,http://221.215.214.14:9005/hls/34/index.m3u8
广西卫视,http://219.139.124.61:8089/hls/17/index.m3u8
湖南卫视,http://219.139.124.61:8089/hls/18/index.m3u8
深圳卫视,http://219.139.124.61:8089/hls/19/index.m3u8
广东卫视,http://219.139.124.61:8089/hls/20/index.m3u8
四川卫视,http://219.139.124.61:8089/hls/21/index.m3u8
浙江卫视,http://219.139.124.61:8089/hls/22/index.m3u8
江苏卫视,http://219.139.124.61:8089/hls/23/index.m3u8
安徽卫视,http://219.139.124.61:8089/hls/25/index.m3u8
辽宁卫视,http://219.139.124.61:8089/hls/26/index.m3u8
天津卫视,http://219.139.124.61:8089/hls/27/index.m3u8
东南卫视,http://219.139.124.61:8089/hls/29/index.m3u8
贵州卫视,http://219.139.124.61:8089/hls/30/index.m3u8
海南卫视,http://219.139.124.61:8089/hls/31/index.m3u8
河北卫视,http://219.139.124.61:8089/hls/32/index.m3u8
河南卫视,http://219.139.124.61:8089/hls/33/index.m3u8
黑龙江卫视,http://219.139.124.61:8089/hls/34/index.m3u8
